SAMPLE	AIM2	CASP1	CCL2	CCL20	CCL27	CCL5	CCL5I	CTLA4	CXCL1	CXCL10	CXCL2	DEFB1	EOMES	FOXP3	IFIH1	IFNAR1	IFNG	IFNGR	IL10	IL17A	IL17F	IL1b	IL1F6	IL1RN	IL20RA	IL22	IL22RA1	IL22RA2	IL26	IL8b	KLRK1	LCN2	MICB	NLRP1	NLRP3	PI3	PYCARD	REG3A	S100A8	S100A9	TNF	TRGC1	WIPI1
11	VH013	 17.973926	24.927516	 8.641814	0.195919674	211.27817	 4.466054	NA	 8.277339	0.0015384223	  2.7038213	0.0051543275	39.44218	1.1348496	 9.162028	 9.078472	1.1712104	  2.7038213	0.9355218	#DIV/0!	#DIV/0!	0.37435177988441476	0.09113615	 53.29765	 44.99418	10.775380	1.0682676737797918	19.823036	16.239285	0.10275756535692629	1.0468946188677902E-3	 31.17535	0.0032193575	0.07631799	14.247795	1.0464663	0.20537517	 29.46643	155.39883590292823	 0.8249243	 1.66901930	21.725750	 48.251407	16.625599
12	VH014	146.677066	22.171993	11.109075	0.011539049	188.66286	 9.348059	NA	16.918162	0.0010975477	 21.4266291	0.0255889683	37.87043	2.7361877	 6.611600	13.240148	0.9100388	 21.4266291	0.6228565	#DIV/0!	#DIV/0!	#DIV/0!	0.08265997	 29.91921	 27.77407	 9.352378	#DIV/0!	 5.887983	12.847391	1.0971793157792509	1.6219296817105219E-4	 47.60365	0.0018274882	0.14365361	13.400049	3.0515245	0.04896292	 27.10211	9338.6577739953445	 0.4038803	 0.06097376	14.818561	113.903295	19.814710
13	VH015	  3.674801	22.187359	10.857850	0.027571720	 81.19577	 8.076136	NA	17.514770	0.0009245249	  2.3858446	0.0107117157	17.59385	2.9471765	24.045025	21.753839	1.4889888	  2.3858446	1.3115054	#DIV/0!	#DIV/0!	#DIV/0!	1.33083605	 42.22425	 40.71061	17.116703	#DIV/0!	19.391634	33.621934	6.8592466548823108	9.1343778381114822E-5	 25.93808	0.0347283369	0.12709682	10.951066	1.7156972	0.14602964	 30.51260	132.25384634250514	 7.3546987	 3.92674262	12.478157	 45.738344	16.772198
14	VH016	  6.874876	18.302895	17.331619	0.121609951	 62.26429	 4.734898	NA	25.797637	0.0014110647	  7.9227381	0.0134367908	29.74001	0.5637005	44.068211	 7.545658	1.1121366	  7.9227381	1.1653788	0.47291921133186016	#DIV/0!	#DIV/0!	1.06831180	 46.37686	 72.97515	17.716229	1.0685204374818682	16.482795	64.333889	6.2635533380350514	4.2489825152666688E-3	 18.29444	0.0131608973	0.06255783	10.049140	1.5918249	0.41094028	 30.87426	151.60418177525386	20.6251679	27.75482340	13.807053	 10.541440	16.245861
15	VH017	  3.558243	25.158946	 8.718018	0.064005185	227.14967	 7.509237	NA	 9.863962	0.0008446650	 18.8239777	0.0054702929	31.71293	1.2603562	 9.519153	 6.018101	0.8504704	 18.8239777	0.5231572	#DIV/0!	#DIV/0!	211377.19513872996	0.02710118	 44.14976	 38.76456	 5.430804	#DIV/0!	16.261244	 4.145103	0.46322522136841177	5.6661853386039628E-4	 57.16920	0.0033377406	0.27509444	12.285057	3.5307472	0.14572633	 22.70598	1321.9941466521614	 1.2628352	 1.03921900	13.632700	 38.809351	15.408626
16	VH018	  9.126111	16.818765	 8.746268	0.049744013	445.61884	 9.628651	NA	88.534467	0.0010320060	 45.6803099	0.0101023361	47.14392	3.1850889	45.907790	25.768154	1.0553096	 45.6803099	0.8712772	2.3069691930641096	#DIV/0!	#DIV/0!	0.03026932	129.14371	 75.07876	 7.833551	1.0117412853214245	20.357927	35.843412	0.69304491340941377	4.7334098055745245E-4	 51.26847	0.0047112374	0.19045210	 4.146327	8.1255394	0.06332856	120.00915	293.3883289481812	 3.2844841	 2.61534285	23.928662	 78.484335	19.049317
17	VT001	  9.773207	22.187349	16.990626	0.014363000	145.37808	 9.010864	NA	13.740214	0.0009183503	  5.7944260	0.0154419442	30.64684	1.1344551	16.306033	 5.549605	0.7666637	  5.7944260	0.9438030	#DIV/0!	#DIV/0!	0.029218	0.24148394	 11.00052	 47.76336	15.323418	#DIV/0!	 8.550174	42.858379	3.0837829170077704	1.3366457337736783E-3	 47.22021	0.0078147054	0.09395836	15.871124	4.6566293	0.05029873	 29.05402	999.34101687227121	 1.4093206	 0.45354995	13.547918	 39.178742	17.528936
18	VT003	  3.766550	12.555469	14.002165	0.020845941	 91.30217	 5.296025	NA	11.613604	0.0002198403	  9.5372751	0.0039100698	34.53316	1.3683253	14.455810	 6.113090	0.9201309	  9.5372751	0.7135661	#DIV/0!	#DIV/0!	#DIV/0!	0.32652015	 27.83659	106.56404	14.365909	#DIV/0!	 9.511208	15.820953	0.42055368903022072	1.0782511312113106E-3	 35.88338	0.0082160484	0.06586143	10.214718	2.2019233	0.09411560	 17.01314	105.25495960636741	 7.9094496	 2.74393010	16.724730	 67.410889	 8.919182
19	VT004	  4.444947	17.557301	16.931845	0.001547691	211.13167	69.953925	NA	33.579293	0.0005715498	  0.9414779	0.0002779924	26.56889	5.0770842	37.112489	 6.582742	0.7345840	  0.9414779	0.5777631	#DIV/0!	#DIV/0!	#DIV/0!	0.07345478	 52.41833	 46.15237	 4.826574	#DIV/0!	 9.520688	 4.178388	2.0392834596098068	4.6293462459211156E-5	 23.17771	0.0008867585	0.09304031	 9.982029	0.2995407	0.03645683	 37.17686	386.7257026609517	 0.5274719	 0.14068095	24.990937	100.763745	16.733490
20	VT005	  3.167476	13.896665	 5.317204	0.038535534	199.46618	 5.633379	NA	13.178986	0.0002102170	  2.0943468	0.0040617952	25.84237	1.2822412	15.108975	 4.073527	1.0480203	  2.0943468	0.8671845	#DIV/0!	#DIV/0!	#DIV/0!	0.14645206	 37.34907	 39.52427	 7.766871	#DIV/0!	17.071256	15.252385	0.11364710243412568	2.0753850444967298E-4	 20.77341	0.0020992181	0.10739513	13.724355	0.4260019	0.03865147	 32.03698	269.56688110103158	 1.0787301	 0.38582015	11.068086	 29.422205	16.355078
