C001	C002	C003	C004	C005	C006	C007	C008	C009	C010	C011	C012	C013	C014	C015	C016	C017	C018	C019	C020	C021	C022	C023	C024	C025	PH001	PH002	PH003	PH004	PH005	PH006	PH007	PH008	PH010	PH011	PH012	PH013	PH014	PH015	PH016	PH017	PH018	PH019	PH020	PH021	PH022	PH023	PH024	PH025	PH026	PH027	PH028	PH029	PH030	PH031	PH032	PH033	PH034	PH035	PT001	PT002	PT003	PT004	PT005	PT006	PT007	PT008	PT009	PT010	PT011	PT012	PT013	PT014	PT015	PT016	PT017	PT018	PT019	PT020	PT021	PT022	PT023	PT024	PT025	PT026	PT027	PT028	PT029	PT030	PT031	PT032	PT033	PT034	PT035	VH001	VH003	VH004	VH005	VH006	VH007	VH009	VH010	VH011	VH012	VH013	VH014	VH015	VH016	VH017	VH018	VT001	VT003	VT004	VT005	VT006	VT007	VT009	VT010	VT011	VT012	VT013	VT014	VT015	VT016	VT017	VT018
AIM2	0.327502998887358	-1.98569795618026	-1.67744393606557	-1.85043632456475	-0.977571754543781	-0.510899685000065	-1.05630358301943	-0.412824820106646	-0.650520067163245	-0.690702686065917	-0.897749318603795	-0.898567204037223	NA	0.0944390919842405	-0.746006440481935	NA	0.175078666843748	NA	-0.463905902985569	-1.01312300504151	1.02287991679622	-0.435436531729596	-2.24872799972902	NA	1.14329341686066	NA	0.156962167068087	-0.387216472047951	NA	1.126947785298	-0.389123991039491	-0.358338681812352	-0.085364971809332	0.903282739741524	0.26606981117794	NA	0.564108611716091	-0.177036821922684	NA	NA	NA	0.512073249936904	0.781506540258952	NA	0.617504074546854	1.2165767558376	1.74917673908643	2.82145962341949	0.84770747789972	1.15882169498476	3.27696227206416	1.24027810799264	2.04721476019705	1.42484992620804	1.52796377256049	0.403101745836798	2.0301884254665	0.362645559543178	NA	NA	-0.38626297236136	-0.16954444482134	-1.25040986557043	NA	-1.92671680090263	-0.406014185760284	NA	NA	NA	NA	-0.301946579912063	0.255717454635183	NA	-0.207412412074683	NA	-0.283965706258216	NA	NA	-0.816021129468059	-0.538551681433219	-0.324148573295627	-0.951281425335947	0.100705685559191	-0.447150812293466	NA	0.0735984948778473	NA	-0.0518550437229873	0.0817710524095719	0.897425601612229	-1.49437146399236	-0.398250048257805	NA	NA	-0.445244486248975	0.0685584465212566	0.397653535273345	1.12204360673748	-1.24250945865543	-0.0104463190089067	-0.355070691112876	NA	-0.82937023775837	-0.666456957527307	1.47361482337397	NA	-0.398113932038672	0.340443637156871	-0.436118759909595	0.67444228315011	0.755216465838562	-0.369036787802473	NA	-0.573285478076399	-1.20505039304992	NA	-0.310391918937203	NA	-0.243100937924501	-0.010718184615318	-0.199103649040213	0.799895571263488	0.321236900494214	NA	NA	NA
CASP1	0.55585549188613	-1.57686597552754	-2.17943509016296	1.96900186950567	0.413500411583783	0.803515034270169	-0.845589596357574	0.00268717398852615	-0.298271877494063	0.210694874436547	0.0761387758739566	0.953017661048371	1.7174428281705	1.13567385165974	0.460301978233395	NA	0.0663877201660753	-0.719485981635114	-0.746139115283907	0.204192017932361	1.58938869410941	-0.613532556237045	1.17727524690005	-0.506929547272239	1.11422215328824	-0.976895294389595	0.643607235734575	0.368649169658272	-0.534882209139467	1.91635082265084	-0.789040509222527	0.626708518565816	-1.11989946935176	0.544803729554303	-0.742888348287735	-4.47401080491038	0.766462006360947	-0.618407431915425	NA	-0.588832216123133	-0.814391111894501	1.21757592999217	0.223368558067233	0.885413853803995	-0.202719538083047	-0.0148648479756409	NA	0.748911217907882	0.377749429902226	0.643606025529608	0.635155392121371	0.641658332975672	0.0975890790294879	1.06904760311114	NA	1.31053002704741	2.23258616833971	0.421299314183419	NA	-0.711687110339828	0.668957804700037	1.08627427816924	-0.767590473358881	-0.270971480068788	NA	0.295845842456773	-0.904744079748855	NA	-0.00186284423426417	-0.685036467793055	0.161941828872173	0.490853085619014	NA	-0.234570542371198	-0.527081968401552	-1.72247083207413	-2.80053181483416	-2.41539364269853	1.05051919458805	0.241893929790919	NA	NA	-2.03448077480491	0.185342172954992	NA	-0.121466187640394	-0.599231814563145	-0.475078982677087	NA	-0.093517616936889	-0.917744809898708	0.15414338719782	-1.21545470839769	0.482401203418929	-0.0941685314438051	0.0410397114059189	-0.224169685373028	-0.382777030841512	0.202892943672804	0.42715124536447	0.813911119724633	0.996569695612861	-0.506929850881562	0.151542178727333	0.327048398998427	-0.00251382862905663	-0.000564750754367871	-0.542031572667277	0.353047356233032	NA	NA	-1.60239079522988	-0.659036964935156	-1.31685691556296	-0.0707657482929901	0.219794213615416	0.598105966932785	-0.0103147645990142	0.721611629384365	1.49058626025662	0.798313002102365	0.570805136431193	0.0741900318810244	0.0696398911815357	NA	-0.220271595565499
CCL2	0.109205112632249	-1.60280032827821	-0.679640047846079	-0.955572878196905	-2.11611682924616	-1.81380595584702	-1.11423491886109	-1.24489839875076	-0.940964818415383	0.0256137162578306	-0.545731236034646	-0.0652830753456174	-1.12397374721112	-0.212988013177881	-1.12113413883917	NA	0.00370106668880383	0.0998717129275151	-0.359475419666016	-1.78337412916591	0.635507099902188	-1.11342303108946	-0.615932027595526	0.524322915524257	1.73396600346563	0.275171100757962	-0.244232529316174	1.73234298224878	0.703679018171873	1.9924495848823	0.692723051017767	-0.155365785459207	0.116509068424933	2.1843870151777	0.417601769651172	NA	0.74020084361671	0.591480100543044	NA	1.21090999638516	-0.195538825982953	0.437889522752579	1.12488373145551	0.451687129792687	1.473453064322	2.01598608738354	0.906571641648925	1.14395518683641	0.966222473094938	1.20522826455808	0.532031662895253	1.54527616064263	1.40325221427702	2.38423637894299	0.994220926826688	1.71611123182273	1.47487252981319	0.446006171938064	1.20157588852048	-1.10084357654754	-0.489327162120225	1.99245113282722	-0.44793743688974	0.840428729210458	-1.37069062258712	-0.104237938740049	-0.240986488819945	NA	-0.677205880836658	-0.236930099158353	-0.926762464871213	-0.254783321887592	NA	0.112857466359796	-0.965718046715758	-0.958413294640562	NA	0.556785624075696	-0.826129017708549	0.915904975541147	-0.452400936065162	-1.00873079219435	-1.10368482944731	0.302358431351884	NA	0.174536879622832	-0.239362694599375	1.07619002812229	0.564090376150897	0.555568165396499	0.141667043229369	0.0487431357383524	-0.850069533833789	0.903324053207778	0.102712195165006	-0.320519967115621	-0.481616859857525	-0.820852912261205	-0.812332190587437	-0.719609488470845	-0.661785969263668	0.0268312509898844	0.732896103075214	1.84190574398869	-0.973427568339405	-0.532340726179971	-0.572513677405835	0.248795681239412	-0.958008566709904	-0.952326723954529	0.213897300156068	-0.125852764477735	0.207810750921911	-1.82638615941802	-2.05890169740289	-0.606193964944016	-0.414257269435156	-0.45564701242315	-0.544918499779921	1.14963688957025	-0.487704133389954	-0.645959097460158	-0.256812725079364	-0.499471674945528	NA	-1.93635446084984
CCL20	-0.726999912824524	-1.22146311236265	-1.15352639051026	-0.863790606453599	-1.00968126410484	NA	-0.938711110984568	NA	NA	-0.869716114439753	-0.646647320086863	-0.994796268991285	NA	-0.35500659423334	NA	NA	NA	-1.44481420006166	-1.3762430300511	NA	-0.918534753414471	NA	0.246616936678228	-0.0581457007003252	0.460232791628855	0.844713177410666	0.144465235776533	1.23631864986293	0.0531775677238669	1.09317913855017	0.175223450878164	0.198927090025714	2.62065956683044	1.29141561514579	NA	0.37381314122419	1.52605472243325	0.55794019481906	NA	1.12139771687524	0.733672073553613	1.12774694460183	NA	1.26855834279885	0.881961906144538	0.840056952306246	0.950392167787528	1.47243896590876	1.18658352965458	1.81938832291745	0.389967837867728	1.01346139160335	1.43243853820076	1.48901765308982	1.15173301851545	1.54496084995926	0.960762777898761	1.09176790033755	1.75885913955338	0.421573362809862	-0.862379760002604	1.00485455993066	-0.492573000258971	0.56802836994257	NA	-0.882132531148834	2.47025368457656	NA	NA	-0.380615159874217	-1.10357908952	0.0236886321805548	NA	0.357375740651633	-0.11063225344971	-0.302519505545392	NA	NA	-0.7004044997367	-0.170879133510707	0.098680184310465	-0.863085246012711	-0.237898963041691	-0.728270403235288	NA	NA	NA	1.416565604394	-1.2464362939675	0.100302678179093	-0.16297832397402	-0.0486919646344869	-1.83649070701324	0.589474403406956	-0.432467271840648	NA	NA	NA	0.407322383007267	-0.633102634754381	-0.829928288927456	-1.45962948187032	-1.14964630842056	-0.0276692491839783	0.222490249754516	-1.50689497043691	-0.97497245098584	-0.0687275678184312	-0.460686120464589	-0.614619015401842	-1.37320892018799	-1.14573368574008	NA	NA	NA	-1.33913494002201	-0.704354839432499	NA	-0.0599793179155308	-1.2409335678682	-0.589786712534256	-0.911762218142965	-1.1964891046965	-0.775959843526432	NA	-0.535183437389978
CCL27	0.471805737625315	0.560022776785704	1.70845785066029	1.9685526124675	1.38883742889142	1.03140985038059	0.668082895221397	0.564581177151227	NA	NA	-0.0841781977294781	0.734580918314617	-1.25527153439989	0.0132893811270483	-0.6138857413956	NA	0.126443881710256	0.327279439705458	-0.18620520031764	0.643681926563674	1.4140433928024	0.487090417576782	-0.756266579458786	0.0350089076772862	0.53052742576556	-1.66203703182091	-0.914467566804585	-1.89933876919725	-1.91623164935606	-1.2407923609837	-2.51632461610092	-0.273617755350254	0.0280375676631018	-1.81299817728095	-0.588680032751923	NA	-1.32498698099081	-0.608924076145951	NA	-0.0363160179739207	-1.67061733942826	-1.28852080151778	-0.684807146467133	-0.856818864801845	-1.27564957295761	-1.30434095143839	-1.58883565923705	-0.595384149237047	-1.17617027314164	-1.37486139343408	-2.45813942112089	-0.857890827890895	-1.91113701180283	-2.11827367716732	-1.59929241368301	-1.96181539656289	-0.646464008722727	-2.01731966095476	-0.169044073697444	-0.870225563473772	0.699455204436825	0.396995397673912	0.414155501455832	0.458130536879924	0.438020488872029	1.1509991983884	0.0352774099763644	NA	1.46069884746458	1.14134590482646	0.880716184443996	1.31027368354906	NA	0.362137674267232	0.617404510607816	-0.132845373563908	NA	-0.0170104537155838	0.149771353097834	0.865700518272946	0.049488592397854	0.552515454859043	-0.167435106198323	0.256491006659829	NA	-0.233933640878992	0.482800008045681	0.622499403877433	0.791963164144565	0.143604496739164	-0.00896612765276323	0.233162512220926	0.959816934047029	1.32636131280916	0.250323680738781	-0.247608314537108	1.04991195421672	1.54355401802704	0.936220459257243	0.673981772874678	0.787672231801332	1.10380675960458	0.437216040186184	0.525433541270405	0.854438776529169	0.723051177746384	-0.255385131495235	-0.563475437115885	0.938499656699913	1.72052460654191	0.420590888637353	-0.119242389604827	0.853633791366177	0.787672755435047	0.659233548594817	-0.0899438804887786	0.860069134301287	0.778018975942194	0.0661131726396955	0.722247230256079	-0.0845809202326891	0.324598021550211	0.011948459971398	-0.18030627807783	NA	0.686584006065828
CCL5	-0.611740036074719	-0.944478493680854	-0.460108147923284	-0.961798894507493	-1.43340759188706	-1.79531644099515	-0.994616236090456	0.156142891363094	0.602833147097853	-0.770967237886924	-0.372593276881402	-0.281735821434099	-0.82232247518335	-0.050793777460344	-0.0431965438270348	NA	-0.375328244234217	-1.37567117760064	-0.479555062346447	-0.94387102629373	0.887560395148317	-1.14807107944943	-2.02413205587689	-0.443091353898256	-0.673577153520312	-1.56224750313175	-0.825360433800954	-1.55009296243644	-0.808040314738044	-0.0137215771621124	-0.578313351963499	0.260067117051527	-1.31915089334519	-0.0751034276641166	1.41113040479356	NA	0.691260329983032	0.705694100628478	NA	-0.303309841227172	-0.647596146567286	-0.799227968450226	1.48466708578489	0.686397586364049	2.5977462022295	0.787282418610857	0.999992386865127	0.739271084502925	1.039496527786	1.46339562528903	1.44577151230143	1.87878810919305	0.328741344217897	1.61609128101138	0.805515099035876	1.41568857489981	1.54042751192926	-0.224911865586943	1.07474533334924	0.0400641925448556	-1.77586916336608	-0.668867027475103	-0.371073535589556	-0.50052278458462	-2.22286368491311	0.371283106033535	-1.43492592181551	NA	-0.113086729579484	-0.0550479428670235	-0.0134172934434005	0.768442909512528	NA	-0.565854527549479	0.0178816196569794	0.410179838693065	NA	0.665734693305612	-0.578010227420861	1.93166102774389	0.128186496246972	-0.505840215017556	-0.00916311726183803	0.421422107820284	NA	0.218132763497232	0.679105789287718	0.309598130988892	0.249127392878909	2.06475704465917	-0.0489709623133862	1.26588013697698	0.751729908916945	-4.73566373648436e-05	0.0582957261860871	0.389212625078182	0.0406721591401436	-0.117645203122782	1.19993921953928	2.0282922512773	0.168601135308957	0.649325424522217	0.215397100529959	-0.0985008013611753	-0.993096706549563	-0.0216214292495943	-0.213973294940119	-0.916217951458832	-0.30969165525559	0.0172742298766564	-0.0699381984625581	-0.768922610680841	2.6253989361732	-0.687706444527008	-0.391129263421917	1.25250959755635	-1.2526037858667	-0.857571156470062	0.13426460442809	0.40440599006568	-0.30057480602472	1.73353697591442	-0.694088881114985	-1.94512577637969	NA	-1.61360233594992
CTLA4	NA	NA	-1.5068873356996	-2.42861318678479	-1.97532722845888	-1.70438495463864	-2.29192983792952	-0.828723973920703	-0.759625378252176	-0.865294817988382	-1.35686898065839	NA	-0.908127385981151	-0.66506803701032	-1.48738923175307	NA	-0.384832053228453	-0.779425610875825	NA	NA	-0.80498339654961	-0.704365466375577	-0.827512063789392	NA	NA	-0.0518629284568553	-0.651530805242295	-0.322198383284774	0.333133015605899	0.507194339066933	NA	-0.253503210665767	-0.434030068681297	0.422133685540414	0.313837378716559	NA	1.14444305115083	0.982302165633886	NA	-1.22170096920166	NA	NA	0.461128055676954	0.319898660805093	0.345154227639453	1.48145241626795	1.77067944820393	1.55560287764591	1.33577932722545	2.00858684153927	1.49801983072376	0.996748314409158	1.72330059675002	2.01434560867472	1.53863159609351	1.65157410869035	0.955025914523772	0.47183631427721	1.56065391393891	0.484363323604925	-1.1618958825095	-0.43958613152972	-1.55962057676359	-0.191678017751902	NA	-1.19644617310604	NA	NA	-1.12148797753488	NA	-1.26564502348769	NA	NA	-0.259463333295468	-0.837817201132015	-0.581926546286583	NA	NA	-1.10229272936564	-0.180565892055051	-0.240168659829545	-0.44726384542805	-0.584249938200101	-0.414533268982392	NA	0.253426298694825	NA	1.35214442276359	-0.255725635805136	1.26587139720856	-0.31391486874155	0.247971395305231	-0.276132485264163	0.677719513216562	NA	1.10231659505012	0.927850822019644	0.0214784434637348	0.545582136484935	1.2874900403923	0.238474752796814	-0.316945782827898	0.480928341628417	-0.68325231543151	-0.626275595168065	-0.00114946621606359	0.0291567299663597	0.367783500159283	-0.472923673681412	1.44609535750438	NA	-0.330132780072596	0.598316070221181	-0.219559690407315	-0.32502738698297	0.659434895946314	-0.0379221709918386	NA	0.216048341915437	-0.0514586916833512	0.473654882464879	1.37053078310368	0.529823222435897	-1.25867590918782	NA	NA
CXCL1	0.529264146837783	NA	-1.05826161590936	NA	-1.25939912749419	-0.838629555860705	-1.10994331852123	NA	-1.05869174076496	NA	NA	-0.961205159061007	-0.83339791962432	NA	-1.11861718409313	NA	NA	-0.270053853101594	-1.5236881555454	NA	-0.247976252479219	-0.167262762768362	-0.881924917557809	-0.743006894104761	NA	1.38865087390974	0.186842651651709	1.56713737621218	0.687034244659743	1.38291624042486	0.618363977463407	-0.370407751547989	0.522740905543901	1.7800305856544	1.46520639886897	NA	1.09389763087901	0.982289938054217	NA	0.126916661438792	1.36184203659691	1.49531254105865	0.310707672370511	0.299381962647536	1.81673147431898	1.21417823222738	2.01170436428452	1.81357704308297	-0.364242993207506	1.23912328631339	1.24958901976753	1.60584505846562	1.68010681206361	1.19374948912522	1.89844808738189	1.33861720849095	1.14701312858329	0.748106915471498	1.17432373265392	-0.0924274637891695	-0.514487136547092	0.0201837625512371	-0.824580496805636	-0.498717304627235	NA	-0.789026425461081	0.505107427118409	NA	-0.514487273268279	-1.32491633066639	NA	-1.0895141652555	NA	-0.503734698762941	-1.01984022782237	0.251355911144731	NA	0.115734508962601	-0.296361197098985	-0.266326833532697	-0.91102820983781	-0.88988181722291	-0.935829980119402	-1.07661178679927	NA	-0.831174833116974	-0.674909898847252	0.899067614554319	NA	0.415075704879372	-0.587387283839631	NA	NA	NA	NA	-0.588892040839075	NA	NA	-0.719639360865467	NA	NA	-1.65938134506178	-0.407825345086327	0.340312186067633	-0.409545562663193	-0.619070485170228	NA	-0.463163491386703	-0.781571568436593	NA	NA	-1.61676887129135	NA	-1.64454244258033	-0.903716468718323	NA	-1.00349683294942	-0.492408967394124	0.0341615987328017	-0.122103492148858	NA	0.0517949317172731	NA	-0.682364502577472	NA	NA
CXCL10	-0.450765923087913	-1.62139728589372	-1.17667211658508	-1.06800147891329	-1.10099736162791	-1.59127021243436	-1.22159235831421	-1.86160242857611	0.00651121458560826	-0.974573380547542	-0.806994459599794	-2.0569768392307	-0.6222004248169	NA	NA	NA	NA	-1.00954145650364	NA	NA	-0.404321066635896	-1.74791039897606	NA	-0.836493218643725	-0.0365266372897982	0.294147821087869	0.427206745502862	1.04677308062192	0.0733993064734357	0.788545963651224	0.555602718664456	0.86260702407601	-0.310713760524692	0.958904429957146	1.1545469384562	NA	0.512654818292033	0.266621744232659	NA	-0.711503915133934	0.401742622755289	0.88035963990104	0.270835777658204	0.647237849912984	1.65809056638418	0.729547758163838	0.34364157526711	0.372153907826274	-0.112021680721998	1.24976813208046	1.24134005968332	0.781104149744395	0.672343178989973	1.04919382813062	0.935232910761837	0.650465628849902	0.659342109408156	0.473472382071219	0.715022580700108	-0.749341479318732	-0.224997192633318	1.10810259281483	-1.61314844109725	0.439400961973195	-1.21594420746213	0.0540321184410616	NA	NA	-0.403872826475159	-0.0877237252949425	NA	-0.188055763739394	NA	NA	-0.294216068899405	-0.323983667832161	NA	-0.708814331522189	0.237839718877112	1.40488417464848	-0.436420484040232	NA	-0.787179027783637	-1.87424472471079	NA	0.887174676452658	-0.949467535185405	0.553630891369742	-0.946867398788204	-0.167074683124156	0.461457392973584	0.656025059597035	-0.57701119196749	-0.869489123171303	-0.313673219834894	1.44128758409408	0.815444578011542	1.70525267037754	-1.01007980598757	2.13814207275235	1.35736293329558	1.39089667487568	-0.907685309358221	-1.06351823695172	NA	0.743535255534961	-0.96013747646001	-0.0286365829734948	0.64302381485243	1.33109263685074	-0.271442046940239	0.115313346790848	NA	-1.06127637688918	-1.76611174805009	1.38300662530333	-0.664611157010841	0.327860788288654	0.732237859796302	-1.56741961242922	0.445497723120446	2.57067302240144	NA	-1.86707178739531	NA	NA
CXCL2	0.951484816698084	-1.67565590648622	NA	-2.03920065592704	NA	NA	-0.866114950082658	NA	-0.521097414114095	-0.236936563670486	0.0740947368044221	-0.712869318128042	0.27371904298996	NA	NA	NA	-1.13224013530694	-0.374845107544516	-0.424782258740906	-0.939364362353182	0.373838172428154	0.32476058866926	-1.23272700382075	-1.43026739079678	-0.00357100725247923	1.07589779821861	-0.0877392667351641	1.84642093120213	NA	1.30263771817604	0.578002036100048	-0.399384146295519	0.53972169588702	1.66974106978415	1.04129791791737	NA	0.929645911535168	0.234825769299005	NA	NA	1.36447609091147	1.71427868329286	-0.215341726901776	0.57824729088402	1.80850847316507	1.28202414719177	0.977251082017476	1.85378231906919	-0.0754699749277557	1.09601898746101	0.605976526907897	1.71219308154213	1.31956942511809	1.16804128427486	NA	2.06653522764444	1.02326162836048	1.02902815806648	1.15368592267323	0.323410486748493	0.0456290210722344	NA	NA	-1.25370789028886	-1.45640043826465	NA	0.47297588725472	NA	NA	-1.29996486152454	-0.753972015225279	-0.913598244374452	NA	NA	NA	0.688059886386421	NA	-0.271536197323188	-0.724772186584526	NA	-0.40674647024953	-1.02794922348906	NA	0.171637325143023	NA	NA	NA	1.07417984462209	-1.62056528504777	-0.476191953679466	0.468558492882312	0.293963999193321	0.515918876624125	0.113233455470185	-0.895439084100991	NA	-1.04770299323582	NA	-1.41689289940738	-0.148596620599924	-1.62939982201224	0.408928819695966	-0.806731052757471	NA	-0.87519481888645	NA	-0.0982913113795512	0.142435156638024	-0.812006603071299	NA	NA	-1.16862420379922	NA	-1.12819150682113	-0.743911646049894	-0.223440522014889	-2.05699101380501	NA	0.356047857986446	-0.604652108947033	-0.773358147049095	0.181698391274385	-0.136817833203749	-0.0863898930048475	NA	NA
